team,number,penalty,trailer,time,speed,checkpoint,1,2,3,4
data,name,,,,,,Independence to Topeka,Topeka Loop,Topeka to Grand Island,Grand Island Loop
data,type,,,,,,base,loop,base,loop
data,miles,,,,,,98.3,43,265.2,21
Minnesota,35,4,No,13:23:09,38.14,✅,98.3,0,265.2,7
App State,828,10,No,14:33:37,29.29,✅,98.3,0,265.2,3
Poly Montreal,55,6,Yes,8:44:00,35.53,✅,45.1,0,265.2,0
Iowa State,9,4,Yes,5:55:00,3.72,❌ ,22,0,0,0
data,modified,13 July 2022 – 9:45am US Central,,,,,,,,
