team,number,penalty,trailer,time,speed,checkpoint,1,2,3,4
data,name,,,,,,Lander to Montpelier,Montpelier Loop,Montpelier to Pocatello,Pocatello Loop
data,type,,,,,,base,Loop,base,loop
data,miles,,,,,,225.7,46.2,86.6,32.8
Iowa State,9,-,No,--,-,❌,0,0,,
Minnesota,35,-,No,--,-,✅,225.7,0,,
Poly Montreal,55,-,No,--,-,✅,225.7,0,,
App State,828,-,No,--,-,✅,225.7,0,,
data,modified,15 July 2022 – 2:30pm US Mountain,,,,,,,,
