team,number,penalty,trailer,time,speed,checkpoint,1,2,3,4
data,name,,,,,,Lander to Montpelier,Montpelier Loop,Montpelier to Pocatello,Pocatello Loop
data,type,,,,,,base,Loop,base,loop
data,miles,,,,,,225.7,46.2,86.6,32.8
Kentucky,3,-,No,--,-,✅,225.7,0,,
MIT,4,-,No,--,-,✅,225.7,2,,
Berkeley,6,-,No,--,-,✅,225.7,0,,
Illinois,22,-,No,--,-,✅,225.7,0,,
Principia,32,-,No,--,-,✅,225.7,3,,
ETS,101,-,No,--,-,✅,225.7,0,,
data,modified,15 July 2022 – 2:30pm US Mountain,,,,,,,,
