team,number,penalty,trailer,time,speed,checkpoint,1
data,name,,,,,,Pocatello to Twin Falls
data,type,,,,,,base
data,miles,,,,,,129.1
Iowa State,9,-,No,--,-,,
Minnesota,35,-,No,--,-,,
Poly Montreal,55,-,No,--,-,,
App State,828,-,No,--,-,,
data,modified,12 July 2022 – 9:30am US Mountain,,,,,
